Mês,RADIACAO GLOBAL (Kj/m²),"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),Ano
1,1346.2750561006371,0.2856578919139259,25.718734056963918,24.508836368845518,2020
2,1332.1421988871268,0.29641143442086054,25.339519449612975,24.150181279695307,2020
3,1375.0568617709796,0.2460557131256546,25.06943063394146,23.84024995931139,2020
4,1295.7197775471006,0.1631925904695043,23.716500721197608,22.48172947387584,2020
5,1178.4025161882291,0.123684637842531,21.80068612201213,20.516099322154833,2020
6,1110.1287992120444,0.0959410672591825,21.89366768229767,20.6092966654123,2020
7,1224.8367509337043,0.05968889297971098,21.360075705206484,19.90840220721242,2020
8,1358.700937825241,0.05969822153053919,22.21889732836187,20.713705486407378,2020
9,1457.5701791556683,0.05713262059674969,24.694849341054983,23.13656656345715,2020
10,1413.0765859481583,0.12187406766513514,25.39882904218624,23.982747167720287,2020
11,1478.4765153719893,0.17015428097395857,24.677969614497837,23.331210488003414,2020
12,1455.1431722025677,0.19571621777465587,25.31931779249201,24.00195355926752,2020
